-0.186073,-0.943919,3
-0.980782,-0.991652,3
0.766191,-0.130830,4
-0.267574,0.764615,2
0.596397,0.584619,1
0.588444,0.227047,1
-0.615645,-0.903914,3
0.700462,-0.992965,4
0.844394,0.408961,3
0.921054,-0.130282,4
-0.977432,0.822459,4
-0.939144,0.754512,4
0.866710,-0.914987,4
-0.471923,-0.281189,1
-0.198869,-0.988837,3
-0.415897,0.929181,4
0.236290,0.984419,3
0.903129,0.808692,3
0.121270,0.432869,1
-0.936108,-0.988423,3
-0.072404,-0.955140,3
-0.780714,-0.049982,3
0.337667,-0.653608,2
-0.725764,-0.933414,3
-0.949594,-0.321270,1
0.101683,0.712406,3
-0.907245,-0.045348,3
0.973568,-0.733614,4
-0.558121,-0.059347,3
-0.973043,0.028422,4
0.783256,0.306348,1
0.462486,-0.899909,4
0.863646,-0.984588,4
0.792924,-0.412783,2
0.399965,-0.914980,4
-0.997586,-0.354648,3
-0.822659,-0.848691,3
-0.741401,-0.998738,3
-0.096446,0.532584,4
-0.783396,-0.556425,1
-0.992150,0.158610,4
-0.950571,-0.470095,3
0.973802,0.999242,3
-0.974965,-0.639727,3
-0.727166,-0.648256,1
0.329398,-0.934405,4
0.917145,0.238201,3
-0.076747,-0.950553,3
0.459544,-0.916169,4
-0.999835,-0.881720,3
-0.910119,0.795731,4
-0.554472,0.417612,2
0.243853,0.891680,3
-0.216290,0.938345,4
-0.213095,0.938579,4
0.523034,0.011902,3
-0.652791,-0.697132,1
0.516359,0.897996,1
0.900760,0.980679,3
-0.520848,0.732027,2
0.889395,0.153343,3
0.404138,-0.675526,2
-0.197932,-0.733120,1
0.372158,-0.040900,4
-0.131586,-0.252877,3
-0.970378,0.721564,1
0.185561,0.327544,1
-0.977009,-0.521996,3
0.999984,-0.216767,4
0.850676,0.566944,4
0.869491,-0.958773,4
-0.307432,-0.612542,1
-0.134978,0.635954,2
0.914543,-0.997395,4
0.790845,-0.136843,4
-0.377939,0.786820,1
0.541262,-0.814173,2
0.740397,0.543842,2
0.497772,0.675981,1
-0.057911,-0.146835,3
0.940707,0.122083,3
0.421014,-0.998402,4
0.901752,0.147207,3
0.816826,-0.869797,3
0.911550,-0.243880,4
-0.311205,-0.998159,3
0.954436,0.995965,3
0.963242,0.934181,3
-0.525147,0.929606,4
0.573549,-0.836009,2
0.576042,0.762767,4
0.237942,-0.687791,2
0.378329,0.971090,3
-0.359873,0.815180,2
0.978423,0.893121,3
-0.865539,0.394814,2
0.999827,0.950486,3
-0.250694,0.048823,4
0.721720,0.885930,3
0.383698,-0.873880,2
-0.845593,0.906591,4
-0.618808,0.980967,4
-0.201577,0.047525,4
0.798269,-0.551637,2
0.171893,0.524662,1
0.818446,0.742484,3
0.942271,0.683542,3
-0.614650,0.738924,2
-0.853174,0.172293,4
0.547425,-0.537066,2
-0.163439,-0.241539,3
-0.980802,-0.790225,3
-0.914713,-0.113896,3
0.768679,0.861674,3
0.945640,-0.133790,4
0.739667,0.484832,1
-0.920033,-0.570818,3
